,City,Cloudiness,Country,Date,Humidity,Lat,Long,Max Temp,Wind Speed
0,Ihosy,88,MG,1552094199,99,-22.4,46.13,62.38,2.39
1,Mpanda,92,TZ,1552094200,97,-6.34,31.07,64.13,5.41
2,Tuatapere,92,NZ,1552094202,81,-46.13,167.69,61.84,2.51
3,Yaan,36,NG,1552094203,74,7.38,8.57,79.97,10.78
4,Longyearbyen,0,NO,1552092600,54,78.22,15.63,-0.41,4.7
5,Zyryanka,48,RU,1552094205,71,65.73,150.89,-6.03,3.29
6,Chokurdakh,80,RU,1552094206,66,70.62,147.9,-9.13,4.41
7,Hithadhoo,68,MV,1552094208,100,-0.6,73.08,83.12,6.2
8,Atuona,92,PF,1552094209,100,-9.8,-139.03,82.13,16.93
9,Albany,1,US,1552093990,35,42.65,-73.75,28.0,4.41
10,Rikitea,68,PF,1552094211,100,-23.12,-134.97,77.5,16.15
11,Aleksandrov Gay,48,RU,1552094212,80,50.14,48.57,17.02,9.89
12,Port Alfred,92,ZA,1552094058,88,-33.59,26.89,64.99,4.0
13,Ahipara,32,NZ,1552094215,87,-35.17,173.16,67.51,17.83
14,Hambantota,44,LK,1552090200,100,6.12,81.12,73.4,1.12
15,Yellowknife,90,CA,1552094175,72,62.45,-114.38,17.6,11.41
16,Ushuaia,75,AR,1552089600,61,-54.81,-68.31,50.0,34.45
17,Saint-Philippe,1,CA,1552094216,50,45.36,-73.48,28.4,8.05
18,Khatanga,64,RU,1552094221,69,71.98,102.47,-5.8,13.58
19,Saint George,20,GR,1552094011,100,39.45,22.34,52.0,4.41
20,Zhigansk,64,RU,1552094223,70,66.77,123.37,3.92,7.99
21,Pangody,32,RU,1552094224,70,65.85,74.49,8.92,11.45
22,Kosh-Agach,8,RU,1552094226,51,49.99,88.66,-4.59,3.18
23,Victoria,90,BN,1552091400,88,5.28,115.24,80.6,2.24
24,Riohacha,20,CO,1552089600,78,11.54,-72.91,78.8,11.41
25,Punta Arenas,75,CL,1552093989,76,-53.16,-70.91,51.8,20.8
26,Cherskiy,80,RU,1552094231,75,68.75,161.3,-0.22,2.95
27,Samarai,92,PG,1552094232,99,-10.62,150.67,83.3,10.45
28,Tuktoyaktuk,90,CA,1552089600,92,69.44,-133.03,10.4,12.75
29,Hobart,75,AU,1552093935,93,-42.88,147.33,61.0,4.7
30,Xining,48,CN,1552094236,67,36.62,101.77,10.72,2.17
31,Namatanai,68,PG,1552094237,100,-3.66,152.44,81.19,5.97
32,Avarua,32,CK,1552091400,78,-21.21,-159.78,80.6,10.29
33,Castro,0,CL,1552089600,71,-42.48,-73.76,51.8,4.7
34,Vila Velha,20,BR,1552093498,83,-3.71,-38.6,81.0,2.24
35,Gonnoi,20,GR,1552094208,100,39.87,22.47,52.0,4.41
36,Aborlan,20,PH,1552089600,78,9.44,118.55,77.0,4.7
37,Manta,68,RO,1552093822,79,45.1,24.1,39.99,1.01
38,Nikolskoye,90,RU,1552094134,86,59.7,30.79,39.99,6.71
39,Geraldton,5,CA,1552093200,39,49.72,-86.95,12.2,2.24
40,Dikson,48,RU,1552094248,95,73.51,80.55,6.17,6.2
41,East London,92,ZA,1552094249,100,-33.02,27.91,68.77,19.51
42,Quatre Cocos,40,MU,1552093200,94,-20.21,57.76,75.2,4.7
43,Pisco,68,PE,1552094120,66,-13.71,-76.2,75.79,3.51
44,Muros,90,ES,1552094251,100,42.77,-9.06,55.0,4.7
45,Mataura,64,NZ,1552094254,47,-46.19,168.86,67.37,4.41
46,Sao Joao da Barra,24,BR,1552094255,95,-21.64,-41.05,84.25,12.57
47,Hermanus,44,ZA,1552094193,87,-34.42,19.24,63.0,4.0
48,Coihaique,0,CL,1552089600,58,-45.58,-72.07,57.2,4.7
49,Vestmannaeyjar,76,IS,1552094258,92,63.44,-20.27,38.12,33.82
50,Nuuk,8,GL,1552092600,74,64.17,-51.74,28.4,12.75
51,Sao Filipe,0,CV,1552094261,94,14.9,-24.5,70.97,17.05
52,Nsanje,88,MZ,1552094262,98,-16.92,35.26,71.15,3.18
53,Arraial do Cabo,20,BR,1552089600,83,-22.97,-42.02,80.6,12.75
54,Puerto Ayora,20,EC,1552094264,90,-0.74,-90.35,81.28,14.25
55,Savino,92,RU,1552094266,93,56.59,41.22,38.17,15.82
56,Oriximina,12,BR,1552094213,75,-1.77,-55.87,82.0,4.74
57,Moerai,92,PF,1552094268,100,-22.43,-151.33,80.65,20.85
58,Oktyabrskiy,0,RU,1552093555,93,55.61,37.97,37.99,4.47
59,Jamestown,68,AU,1552094241,63,-33.21,138.6,71.65,4.29
60,Boda,20,BD,1552091400,100,26.2,88.56,51.8,1.12
61,Bethel,40,US,1552092780,69,60.79,-161.76,39.2,12.75
62,Bone,20,ID,1552091400,88,-5.29,119.42,80.6,2.24
63,Tiksi,0,RU,1552094276,58,71.64,128.87,-12.87,3.85
64,Praia,0,BR,1552089600,61,-20.25,-43.81,78.8,5.82
65,Bluff,44,AU,1552094278,60,-23.58,149.07,82.9,11.9
66,Canals,0,ES,1552094264,70,38.96,-0.58,55.0,4.7
67,Union,40,US,1552094005,86,47.36,-123.1,43.0,3.18
68,Caravelas,32,BR,1552094282,99,-17.73,-39.27,84.7,7.43
69,San Patricio,80,PY,1552094283,93,-26.98,-56.83,74.89,7.2
70,Vaini,0,IN,1552089600,55,15.34,74.49,64.4,1.39
71,Busselton,92,AU,1552094196,73,-33.64,115.35,71.01,1.95
72,Pochutla,20,MX,1552094187,58,15.74,-96.47,86.0,8.05
73,Cape Town,0,ZA,1552094116,82,-33.93,18.42,64.99,10.29
74,Port Elizabeth,90,US,1552094284,100,39.31,-74.98,35.6,4.7
75,Ponta do Sol,12,BR,1552094290,82,-20.63,-46.0,71.2,4.18
76,Conceicao do Araguaia,32,BR,1552094291,85,-8.26,-49.26,80.42,5.3
77,San Cristobal,20,EC,1552094208,86,-0.39,-78.55,52.0,0.16
78,Urambo,20,TZ,1552094294,91,-5.07,32.07,62.78,2.73
79,Qaanaaq,0,GL,1552094295,93,77.48,-69.36,-12.51,5.86
80,Waipawa,8,NZ,1552094057,57,-39.94,176.59,73.0,3.29
81,Severo-Kurilsk,64,RU,1552094298,97,50.68,156.12,30.2,15.48
82,Morros,75,BR,1552093200,100,-2.87,-44.04,77.0,8.05
83,Luderitz,0,NA,1552094300,77,-26.65,15.16,61.48,20.85
84,Souillac,80,FR,1552094289,81,45.6,-0.6,51.8,12.75
85,Zacatepec,0,MX,1552094303,32,20.06,-98.01,70.12,2.51
86,Bredasdorp,92,ZA,1552094193,88,-34.53,20.04,66.2,9.17
87,Mount Gambier,90,AU,1552089600,68,-37.83,140.78,68.0,4.7
88,Mahebourg,40,MU,1552093200,94,-20.41,57.7,75.2,4.7
89,Fort Nelson,20,CA,1552089600,36,58.81,-122.69,30.2,3.36
90,Kapaa,90,US,1552094302,78,22.08,-159.32,78.8,21.92
91,Talnakh,80,RU,1552094310,85,69.49,88.39,8.2,15.7
92,Airai,56,TL,1552094311,85,-8.93,125.41,74.53,1.39
93,Luba,8,PH,1552094312,71,17.32,120.7,74.53,3.96
94,Buba,8,GW,1552094313,59,11.59,-14.99,71.29,3.06
95,Leningradskiy,36,RU,1552094315,89,69.38,178.42,1.58,16.6
96,Unirea,75,RO,1552093200,70,46.4,23.81,48.2,6.93
97,Inirida,32,CO,1552094317,92,3.87,-67.92,77.9,2.28
98,Kavaratti,8,IN,1552094318,100,10.57,72.64,81.23,9.89
99,Tshikapa,76,CD,1552094319,99,-6.42,20.79,70.07,2.06
100,Ilhabela,44,BR,1552094321,98,-23.78,-45.36,81.46,6.64
101,Morant Bay,40,JM,1552089600,57,17.88,-76.41,80.6,13.87
102,Chuy,92,UY,1552094224,79,-33.69,-53.46,69.76,19.06
103,Carnarvon,0,ZA,1552094324,89,-30.97,22.13,50.32,3.06
104,New Norfolk,75,AU,1552094056,93,-42.78,147.06,61.0,4.7
105,Thompson,75,CA,1552089600,35,55.74,-97.86,23.0,2.24
106,Ouallam,0,NE,1552094327,33,14.32,2.08,69.62,4.63
107,Sorong,92,ID,1552094272,100,-0.86,131.25,81.32,4.97
108,Swan Hill,20,AU,1552094330,87,-35.34,143.56,70.25,4.63
109,Kodiak,90,US,1552094311,95,39.95,-94.76,37.99,14.99
110,Malmyzh,92,RU,1552094332,92,56.52,50.68,24.58,20.29
111,Kavieng,68,PG,1552094333,100,-2.57,150.8,79.88,3.74
112,Arenapolis,56,BR,1552094335,64,-14.45,-56.85,83.35,4.52
113,Babu,68,CN,1552094336,97,23.23,104.89,54.73,2.73
114,Abu Samrah,0,SY,1552094337,64,35.3,37.18,39.7,6.31
115,Mulanje,92,MW,1552094338,98,-16.03,35.5,67.82,2.95
116,Janauba,68,BR,1552094339,86,-1.63,-45.47,78.08,4.97
117,Kurilsk,12,RU,1552094341,93,45.23,147.88,30.16,9.1
118,Lazaro Cardenas,40,MX,1552094337,23,28.39,-105.62,77.0,14.99
119,Ayan,0,TR,1552094343,65,40.67,33.6,21.07,1.16
120,Esperance,20,TT,1552094114,78,10.24,-61.45,79.0,6.93
121,Narsaq,24,GL,1552092600,25,60.91,-46.05,37.4,21.92
122,Eureka,75,US,1552094044,100,40.8,-124.16,48.2,9.17
123,Norrtalje,0,SE,1552094326,79,59.76,18.7,30.99,12.75
124,Kruisfontein,100,ZA,1552094349,100,-34.0,24.73,63.37,13.8
125,Buritizeiro,44,BR,1552094350,54,-17.37,-44.96,79.03,6.76
126,Atar,0,MR,1552094351,34,20.52,-13.05,59.68,6.98
127,Lebu,40,ET,1552093200,93,8.96,38.73,55.4,4.7
128,Kyren,0,RU,1552094354,51,51.68,102.13,-2.88,3.62
129,Ribeira Grande,88,PT,1552094355,96,38.52,-28.7,61.52,16.93
130,Coquimbo,40,CL,1552089600,87,-29.95,-71.34,60.8,9.17
131,Timbiqui,88,CO,1552094357,83,2.77,-77.67,79.25,4.74
132,Bulgan,0,MN,1552094358,55,48.81,103.53,3.34,2.73
133,Constitucion,75,MX,1552093816,10,23.99,-104.67,77.0,20.8
134,San Quintin,8,PH,1552094361,71,17.54,120.52,74.53,3.96
135,Araouane,0,ML,1552094362,27,18.9,-3.53,59.05,10.45
136,Paamiut,56,GL,1552094363,88,61.99,-49.67,31.87,9.78
137,Dicabisagan,56,PH,1552094364,99,17.08,122.42,75.34,5.41
138,Ohara,0,JP,1552094076,56,35.12,135.83,53.01,5.82
139,Butaritari,80,KI,1552094367,100,3.07,172.79,81.5,14.47
140,Nangomba,92,TZ,1552094368,98,-10.9,38.52,70.3,10.67
141,Plainview,90,US,1552094274,41,34.18,-101.71,71.6,9.17
142,Klaksvik,48,FO,1552092600,59,62.23,-6.59,35.6,16.11
143,Norman Wells,75,CA,1552089600,67,65.28,-126.83,23.0,8.05
144,Fort Smith,1,US,1552094176,82,35.39,-94.42,62.01,9.17
145,Verkhnyaya Inta,76,RU,1552094374,80,65.99,60.32,14.9,3.4
146,Matay,0,EG,1552094375,72,28.42,30.79,48.97,7.76
147,Roald,40,NO,1552094133,100,62.58,6.12,28.4,3.36
148,Ginda,0,IN,1552093200,81,30.69,78.49,51.8,3.36
149,Acari,24,BR,1552094345,72,-6.44,-36.64,75.88,8.66
150,Inhambane,92,MZ,1552094380,92,-23.87,35.38,79.75,8.66
151,Matara,32,PE,1552094381,68,-13.74,-72.9,51.17,2.06
152,Raudeberg,80,NO,1552094106,96,61.99,5.14,32.0,12.75
153,Grindavik,90,IS,1552093757,64,63.84,-22.43,34.0,27.51
154,Rockport,90,US,1552094191,93,28.02,-97.05,73.4,10.29
155,Pevek,68,RU,1552094386,100,69.7,170.27,0.95,1.83
156,Jimeta,0,NG,1552094387,68,9.28,12.44,70.52,2.28
157,Broken Hill,8,AU,1552089600,9,-31.97,141.45,84.2,3.36
158,Kirakira,32,SB,1552094390,100,-10.46,161.92,82.58,10.33
159,Omsukchan,56,RU,1552094391,77,62.53,155.8,-2.92,3.62
160,Emba,75,CY,1552094114,87,34.81,32.42,50.0,8.05
161,Araguari,24,BR,1552094393,83,-18.65,-48.19,74.08,4.97
162,Maua,0,KE,1552094394,71,0.23,37.94,60.08,1.95
163,Jumla,0,NP,1552094396,88,29.28,82.18,12.61,2.39
164,Dingle,48,PH,1552094397,85,11.0,122.67,76.96,6.98
165,Vanavara,0,RU,1552094398,59,60.35,102.28,19.72,10.22
166,Vao,80,EE,1552094399,96,59.1,26.19,34.07,10.78
167,Saskylakh,64,RU,1552094400,76,71.97,114.09,1.81,11.34
168,Barrow,80,AR,1552094401,61,-38.31,-60.23,57.83,9.89
169,Fortuna,0,ES,1552094381,66,38.18,-1.13,52.0,5.82
170,Beringovskiy,88,RU,1552094404,96,63.05,179.32,18.37,26.11
171,Pambujan,20,PH,1552094405,98,12.56,124.93,78.85,8.77
172,Hofn,64,IS,1552094406,100,64.25,-15.21,35.65,23.42
173,Koulamoutou,12,GA,1552094408,96,-1.13,12.47,70.84,2.51
174,Estevan,90,CA,1552093200,86,49.14,-102.99,26.6,5.82
175,Keti Bandar,0,PK,1552094410,98,24.14,67.45,72.23,10.0
176,Eyl,92,SO,1552094411,100,7.98,49.82,74.44,12.01
177,Songea,32,TZ,1552094412,94,-10.68,35.65,63.46,2.28
178,Abu Dhabi,0,AE,1552089600,88,24.47,54.37,62.6,4.7
179,Almaty,75,KZ,1552091400,92,43.24,76.95,30.2,4.47
180,Totma,92,RU,1552094416,99,59.98,42.76,34.07,15.48
181,Makakilo City,1,US,1552094120,44,21.35,-158.09,80.6,14.99
182,Bubaque,8,GW,1552094418,93,11.28,-15.83,78.22,12.46
183,Moron,8,VE,1552094419,76,10.49,-68.2,71.74,3.96
184,Popondetta,76,PG,1552094420,88,-8.77,148.24,75.43,2.39
185,Huarmey,48,PE,1552094421,63,-10.07,-78.15,74.26,3.51
186,Fare,76,PF,1552094423,96,-16.7,-151.02,84.7,15.7
187,Majene,20,ID,1552094424,94,-3.54,118.97,82.4,3.29
188,Les Cayes,0,HT,1552094425,100,18.19,-73.75,78.17,7.99
189,Togur,0,RU,1552094426,86,58.36,82.83,16.75,10.0
190,Dudinka,88,RU,1552094427,88,69.41,86.18,11.08,11.12
191,Tubay,48,PH,1552094429,100,9.17,125.52,75.61,3.74
192,Dezhou,68,CN,1552094430,58,37.45,116.31,42.49,11.01
193,Ler,75,NO,1552094402,86,63.2,10.3,33.8,13.87
194,Nortelandia,56,BR,1552094432,64,-14.45,-56.8,83.35,4.52
195,Cidreira,88,BR,1552094434,99,-30.17,-50.22,72.95,6.2
196,Athabasca,88,CA,1552094384,75,54.72,-113.29,21.7,10.11
197,Hami,0,CN,1552094436,65,42.84,93.51,28.58,5.41
198,Port Said,12,EG,1552094437,62,25.34,30.55,54.32,8.1
199,Indramayu,68,ID,1552094438,92,-4.05,103.78,70.66,2.73
200,Ostrovnoy,88,RU,1552094439,89,68.05,39.51,15.94,12.57
201,Ilulissat,0,GL,1552092600,37,69.22,-51.1,21.2,20.8
202,Guisa,20,CU,1552089000,88,20.25,-76.54,73.4,12.75
203,Upernavik,36,GL,1552094443,100,72.79,-56.15,7.52,12.24
204,Avera,90,US,1552094428,59,33.19,-82.53,64.4,3.36
205,Hilo,90,US,1552094414,53,19.71,-155.08,75.99,12.75
206,Beloha,0,MG,1552094447,79,-25.17,45.06,71.87,8.99
207,Seddon,100,NZ,1552094229,96,-41.67,174.07,61.0,1.01
208,Metro,12,ID,1552094449,100,-5.11,105.31,75.79,3.62
209,Ambon,90,FR,1552094432,100,47.55,-2.56,52.0,8.05
210,Mar del Plata,0,AR,1552094451,42,-46.43,-67.52,63.23,7.65
211,Eydhafushi,92,MV,1552094453,100,5.1,73.07,78.94,1.39
212,Daud Khel,0,PK,1552094454,75,32.58,71.54,43.12,2.62
213,Bundaberg,75,AU,1552094108,65,-24.87,152.35,88.0,13.87
214,Nova Odesa,68,UA,1552094456,91,47.3,31.79,44.6,8.1
215,Sydney,75,AU,1552094422,78,-33.85,151.22,77.0,11.41
216,Uyuni,68,BO,1552094458,57,-20.46,-66.82,49.78,4.29
217,Thinadhoo,76,MV,1552094447,100,0.53,72.93,82.4,5.75
218,Vostok,92,RU,1552094461,59,46.45,135.83,35.02,7.31
219,Paracuru,20,BR,1552094411,83,-3.41,-39.03,81.0,2.24
220,Anchorage,90,US,1552094223,74,61.22,-149.89,37.99,8.43
221,Niamey,0,NE,1552094198,64,13.52,2.11,68.95,2.84
222,Derzhavinsk,0,KZ,1552094468,64,51.1,66.31,-0.18,3.62
223,Haines Junction,12,CA,1552094470,79,60.75,-137.51,16.66,2.62
224,Bahia Honda,0,CU,1552094471,57,22.9,-83.16,76.87,6.2
225,Najran,5,SA,1552089600,38,17.54,44.22,60.8,2.73
226,Tasiilaq,56,GL,1552092600,45,65.61,-37.64,24.8,21.92
227,Okhotsk,56,RU,1552094474,100,59.36,143.24,9.32,5.86
228,Houma,0,CN,1552094476,74,35.63,111.36,27.91,1.39
229,Mozarlandia,20,BR,1552094477,87,-14.74,-50.57,75.92,3.51
230,Saint-Francois,75,FR,1552094111,70,46.42,3.91,48.2,8.05
231,Alekseyevsk,92,RU,1552094479,75,57.84,108.35,23.59,10.45
232,Ust-Ishim,12,RU,1552094480,84,57.69,71.17,12.7,9.22
233,Kibala,0,TD,1552094482,34,9.11,18.35,76.1,8.77
234,La Primavera,75,AR,1552093200,87,-32.92,-68.67,55.4,5.82
235,Troitsko-Pechorsk,92,RU,1552094484,82,62.71,56.19,24.13,7.76
236,Dombrad,92,HU,1552094485,69,48.23,21.93,47.26,8.77
237,Morondava,0,MG,1552094486,100,-20.3,44.28,76.15,2.39
238,Mbuji-Mayi,56,CD,1552094488,91,-6.13,23.6,67.73,3.06
239,Leshukonskoye,92,RU,1552094489,92,64.9,45.76,28.58,6.42
240,Tabas,92,IR,1552094490,42,33.6,56.92,54.77,9.78
241,Hirara,75,JP,1552089600,77,24.8,125.28,69.8,13.87
242,Kondoa,88,TZ,1552094493,96,-4.91,35.78,61.39,3.62
243,Nome,90,US,1552094483,88,30.04,-94.42,72.0,11.41
244,Gat,0,SN,1552093200,72,14.69,-16.54,64.4,23.04
245,Guanica,40,PR,1552094465,98,17.97,-66.91,79.0,14.99
246,Cabedelo,0,BR,1552089600,88,-6.97,-34.84,78.8,4.7
247,Yinchuan,0,CN,1552094499,65,38.48,106.21,22.42,2.62
248,Bay Roberts,90,CA,1552094421,85,47.58,-53.28,17.01,27.51
249,Laguna,90,MX,1552088580,53,27.52,-110.01,71.6,8.05
250,Thibodaux,90,US,1552094488,83,29.8,-90.82,70.0,9.17
251,Berlevag,76,NO,1552094504,100,70.86,29.09,17.78,7.99
252,Chapais,90,CA,1552093980,78,49.78,-74.86,14.0,10.29
253,Saldanha,0,PT,1552094506,82,41.42,-6.55,34.93,2.73
254,Hervey Bay,75,AU,1552094108,65,-25.3,152.85,88.0,13.87
255,Bambous Virieux,40,MU,1552093200,94,-20.34,57.76,75.2,4.7
256,Tual,92,ID,1552094510,100,-5.67,132.75,78.08,10.0
257,Faanui,92,PF,1552094511,96,-16.48,-151.75,84.83,16.04
258,Bud,80,NO,1552094133,92,62.91,6.91,30.2,9.17
259,Waingapu,44,ID,1552094513,94,-9.65,120.26,77.32,4.07
260,Pustoshka,80,RU,1552094515,77,56.34,29.37,35.83,29.24
261,Ixtapa,5,MX,1552094420,61,20.71,-105.21,78.8,8.05
262,Singaraja,68,ID,1552094517,94,-8.11,115.08,76.42,1.28
263,Antalaha,12,MG,1552094518,99,-14.9,50.28,75.25,3.4
264,Port Macquarie,40,AU,1552094045,65,-31.43,152.91,90.0,4.7
265,Moosomin,0,CA,1552094520,87,50.14,-101.67,19.67,5.08
266,Clyde River,90,CA,1552093200,83,70.47,-68.59,-11.21,10.29
267,Alihe,0,CN,1552094523,43,50.57,123.73,16.66,7.54
268,Parintins,20,BR,1552094524,61,-2.63,-56.73,84.61,5.3
269,Port Hardy,40,CA,1552093200,52,50.7,-127.42,42.8,1.72
270,Aldan,68,RU,1552094527,71,58.61,125.39,14.95,7.76
271,Taoudenni,0,ML,1552094528,24,22.68,-3.98,62.47,12.01
272,Husavik,20,CA,1552094405,90,50.56,-96.99,19.99,5.01
273,Xiaolan,40,CN,1552094510,100,22.67,113.23,66.0,12.46
274,Provideniya,36,RU,1552094532,100,64.42,-173.23,26.6,26.55
275,Isla Vista,1,US,1552094495,57,34.41,-119.86,57.2,12.75
276,Saskatoon,40,CA,1552094166,78,52.13,-106.66,16.0,10.29
277,Verkh-Usugli,0,RU,1552094535,56,52.7,115.17,4.15,3.4
278,Wanning,75,AT,1552094525,86,48.64,13.53,39.0,1.12
279,Nalut,32,LY,1552094538,38,31.86,10.98,54.19,8.55
280,Belmonte,0,PT,1552094539,81,40.36,-7.35,36.64,2.95
281,Port Hedland,0,AU,1552091400,47,-20.31,118.58,95.0,5.82
