,City,Cloudiness,Country,Date,Humidity,Lat,Long,Max Temp,Wind Speed
282,Tsiroanomandidy,76,MG,1552094541,96,-18.77,46.05,64.22,2.73
283,Anadyr,0,RU,1552093989,71,64.73,177.51,8.6,4.47
284,Henties Bay,0,NA,1552093386,85,-22.12,14.28,63.0,1.99
285,Biak,92,ID,1552094545,96,-0.91,122.88,79.21,1.39
286,Ayorou,0,NE,1552094546,28,14.73,0.92,65.62,3.96
287,Mazagao,75,BR,1552089600,100,-0.12,-51.29,78.8,8.05
288,Isangel,75,VU,1552089600,88,-19.55,169.27,77.0,11.41
289,Bakhmach,76,UA,1552094550,91,51.18,32.81,40.06,11.68
290,Kankon,40,IN,1552089600,88,15.02,74.02,75.2,3.36
291,Dunedin,0,NZ,1552094107,53,-45.87,170.5,66.99,8.01
292,Glace Bay,5,CA,1552094466,52,46.2,-59.96,19.99,11.41
293,Kabwe,56,ZM,1552094555,93,-14.44,28.44,65.17,7.2
294,Sitka,48,US,1552094556,69,37.17,-99.65,53.11,14.81
295,Varazze,20,IT,1552094547,87,44.36,8.57,55.4,9.17
296,Ziyang,80,CN,1552094558,100,30.12,104.65,45.46,3.62
297,Cabo San Lucas,75,MX,1552094215,86,22.89,-109.91,89.6,14.99
298,Guerrero Negro,0,MX,1552094561,62,27.97,-114.04,61.93,18.84
299,Pudozh,68,RU,1552094562,96,61.81,36.54,34.25,12.68
300,Nanortalik,80,GL,1552094563,99,60.14,-45.24,28.58,15.03
301,Pundaguitan,88,PH,1552094564,100,6.37,126.17,77.77,3.74
302,Fuyang,75,CN,1552094431,100,30.05,119.96,54.0,2.24
303,Marzuq,32,YE,1552094567,83,14.4,46.47,51.98,2.73
304,Egvekinot,20,RU,1552094568,79,66.32,-179.17,0.37,3.4
305,Ternate,20,PH,1552094314,69,14.29,120.72,86.0,6.93
306,Tucuman,64,PE,1552094570,65,-17.17,-70.89,65.89,3.06
307,Kaitangata,12,NZ,1552094554,51,-46.28,169.85,69.01,4.0
308,Vardo,90,US,1552094566,86,39.62,-77.74,34.0,3.74
309,Komsomolskiy,68,RU,1552094574,86,67.55,63.78,13.15,12.68
310,Adrar,0,DZ,1552093200,12,27.87,-0.29,69.8,20.8
311,Acapulco,5,MX,1552088760,78,16.86,-99.88,82.4,11.41
312,Tateyama,0,JP,1552094396,60,36.66,137.31,54.0,3.36
313,Ermioni,20,GR,1552094582,92,37.39,23.25,59.68,7.09
314,Kholtoson,0,RU,1552094584,50,50.3,103.31,-2.2,4.41
315,Buala,100,SB,1552094585,85,-8.15,159.59,84.52,8.66
316,Shimoda,40,JP,1552094328,58,34.7,138.93,57.2,5.82
317,Beaverlodge,20,CA,1552093200,45,55.21,-119.43,23.0,4.7
318,Sabha,0,LY,1552094588,22,27.03,14.43,58.69,14.25
319,Alibag,0,IN,1552091400,78,18.64,72.88,75.2,4.7
320,Faya,40,SA,1552089600,82,18.39,42.45,57.2,8.05
321,Yulara,0,AU,1552089600,8,-25.24,130.99,89.6,10.29
322,Bathsheba,20,BB,1552089600,73,13.22,-59.52,77.0,17.22
323,General Roca,0,AR,1552089600,36,-39.03,-67.58,64.4,8.05
324,Nanfeng,92,CN,1552094596,98,27.22,116.52,49.37,3.18
325,Karratha,0,AU,1552094597,75,-20.74,116.85,82.45,4.63
326,Ochando,0,ES,1552094404,73,41.05,-4.44,41.0,1.39
327,Yeppoon,90,AU,1552091400,65,-23.13,150.74,82.4,12.75
328,Bure,36,NG,1552094600,43,10.52,10.33,72.46,4.74
329,Naze,32,NG,1552094602,90,5.43,7.07,75.47,4.74
330,Pangnirtung,0,CA,1552094603,52,66.15,-65.72,-4.9,5.64
331,Chitral,0,PK,1552094604,75,35.85,71.79,-1.89,1.28
332,Moussoro,0,TD,1552094605,20,13.64,16.49,79.66,14.25
333,Parrita,0,CR,1552094362,60,9.52,-84.33,71.6,21.92
334,Saint-Pierre,75,FR,1552094527,81,48.95,4.24,48.2,28.86
335,Santiago,0,CL,1552094460,67,-33.44,-70.65,66.99,11.41
336,Hjelset,80,NO,1552094133,86,62.78,7.5,30.2,9.17
337,Padang,20,ID,1552089600,94,-0.92,100.36,77.0,2.24
338,Yangambi,12,CD,1552094614,96,0.77,24.47,73.67,2.17
339,Thunder Bay,75,CA,1552094561,68,48.41,-89.26,25.0,3.36
340,Fandriana,68,MG,1552094616,94,-20.24,47.38,60.58,2.62
341,Camacha,75,PT,1552093200,67,33.08,-16.33,60.8,8.05
342,Cayenne,0,GF,1552091400,74,4.94,-52.33,78.8,4.7
343,Meulaboh,44,ID,1552094620,100,4.14,96.13,78.4,2.17
344,Hovd,75,NO,1552094584,86,63.83,10.7,32.0,13.87
345,Nagod,56,IN,1552094622,44,24.57,80.59,63.37,2.84
346,Torbay,90,CA,1552094421,85,47.66,-52.73,17.01,27.51
347,Cocorit,90,MX,1552092120,56,27.57,-109.96,68.0,5.82
348,Zatoka,20,PL,1552094592,75,50.04,20.52,45.0,8.05
349,Maragogi,80,BR,1552094419,96,-9.01,-35.22,78.08,5.64
350,La Asuncion,24,EC,1552094628,86,-1.64,-78.74,50.14,0.72
351,Yarmouth,44,GB,1552094609,87,50.71,-1.5,48.0,14.99
352,Hatfield,80,GB,1552094535,87,51.76,-0.23,48.99,18.34
353,Malanje,56,AO,1552094632,94,-9.54,16.35,67.73,4.18
354,Linjiang,12,CN,1552094633,50,41.81,126.91,33.67,8.66
355,Koutiala,0,ML,1552094634,34,12.39,-5.46,68.68,7.43
356,Ouidah,12,BJ,1552094636,93,6.37,2.09,74.12,4.41
357,Wamba,0,CD,1552094637,76,2.14,27.99,68.72,2.62
358,Honningsvag,68,NO,1552094642,100,70.98,25.97,20.8,8.66
359,Gourcy,0,BF,1552094643,26,13.21,-2.36,70.88,8.32
360,Ulcinj,40,ME,1552094419,75,41.93,19.22,50.0,4.7
361,Humaita,90,AR,1552093200,93,-24.93,-65.37,64.4,8.05
362,Santa Fe,92,AR,1552094603,62,-31.62,-60.7,69.01,5.99
363,Puerto Escondido,40,MX,1552092000,74,15.86,-97.07,82.4,3.36
364,Codrington,40,AU,1552094608,73,-28.95,153.24,86.0,2.73
365,Khani,0,GE,1552091400,80,41.96,42.96,41.0,6.93
366,Beckley,90,US,1552094629,96,37.78,-81.19,35.6,3.36
367,Petropavlovsk-Kamchatskiy,56,RU,1552091400,58,53.05,158.65,28.4,2.24
368,Vagur,88,FO,1552094654,100,61.47,-6.81,41.0,26.44
369,Vasto,64,IT,1552094548,87,42.12,14.71,55.0,5.82
370,Goma,8,CD,1552094396,100,-1.67,29.23,52.43,0.6
371,Labe,24,NG,1552094658,68,7.7,8.47,80.38,10.11
372,Itarema,8,BR,1552094659,95,-2.92,-39.92,76.42,5.41
373,Opuwo,0,NA,1552094660,56,-18.06,13.84,60.94,3.74
374,Ballina,92,IE,1552094324,81,54.11,-9.15,50.0,45.99
375,Port Hawkesbury,20,CA,1552094438,67,45.62,-61.36,21.99,5.82
376,Grants Pass,90,US,1552094445,39,42.44,-123.33,46.99,2.62
377,Tessalit,0,ML,1552094665,29,20.2,1.01,58.87,8.66
378,Iqaluit,75,CA,1552094562,77,63.75,-68.52,-2.01,19.46
379,Kahului,40,US,1552094471,64,20.89,-156.47,79.0,18.34
380,Toora-Khem,12,RU,1552094669,66,52.47,96.11,-0.58,2.28
381,Comodoro Rivadavia,0,AR,1552089600,72,-45.87,-67.48,60.8,7.65
382,Alassio,20,IT,1552094393,87,44.0,8.17,51.8,9.17
383,Hamilton,75,BM,1552092900,58,32.3,-64.78,59.0,4.7
384,Coruripe,92,BR,1552094673,100,-10.12,-36.18,81.1,12.8
385,Ariquemes,48,BR,1552094674,66,-9.91,-63.03,84.25,2.51
386,Syracuse,20,US,1552094520,53,43.05,-76.15,26.6,3.36
387,Salalah,0,OM,1552089000,20,17.01,54.1,77.0,9.17
388,Mamallapuram,40,IN,1552091619,83,12.63,80.17,84.2,4.7
389,Show Low,40,US,1552094420,59,34.25,-110.03,42.01,21.92
390,Saint Anthony,90,US,1552094604,92,43.97,-111.68,33.01,9.17
391,Trelew,0,AR,1552094682,29,-43.25,-65.31,62.56,11.34
392,Athmallik,0,IN,1552094683,74,20.72,84.53,58.42,2.28
393,Itajuipe,20,BR,1552089600,74,-14.68,-39.38,84.2,6.93
394,Millinocket,1,US,1552094403,44,45.66,-68.71,21.2,6.87
395,Tacoronte,48,ES,1552094488,87,28.48,-16.41,64.99,13.87
396,Bibiani,68,GH,1552094688,93,6.45,-2.31,74.53,2.95
397,Goure,0,NE,1552094689,25,13.98,10.27,75.92,10.0
398,Camabatela,32,AO,1552094690,91,-8.19,15.37,63.68,3.85
399,Angoram,76,PG,1552094691,84,-4.06,144.07,80.29,0.94
400,Rawson,0,AR,1552094692,29,-43.3,-65.11,62.56,11.34
401,Hanzhong,64,CN,1552094694,89,33.08,107.03,31.78,1.95
402,Kaeo,44,NZ,1552094695,82,-35.1,173.78,66.92,12.24
403,Bonavista,32,CA,1552094197,75,48.65,-53.11,14.0,18.01
404,Rocha,92,UY,1552094697,76,-34.48,-54.34,64.0,13.02
405,Bandarbeyla,92,SO,1552094699,100,9.49,50.81,77.23,11.9
406,Cherrapunji,0,IN,1552094700,83,25.28,91.72,45.46,0.6
407,Georgetown,68,GY,1552094655,74,6.8,-58.16,78.49,8.43
408,Myrtle Beach,90,US,1552094643,77,33.7,-78.89,61.0,9.17
409,Laurel,90,US,1552094515,63,45.67,-108.77,33.01,10.29
410,Verkhoyansk,56,RU,1552094705,76,67.55,133.39,-4.63,3.4
411,Lakheri,0,IN,1552089600,56,25.67,76.19,68.0,1.16
412,Roebourne,0,AU,1552094707,75,-20.77,117.15,82.45,4.63
413,Kattivakkam,40,IN,1552091619,83,13.22,80.32,84.2,4.7
414,Marystown,68,CA,1552094710,100,47.17,-55.16,20.53,26.89
415,Aksarka,0,RU,1552094711,74,66.56,67.8,0.1,10.11
416,Hornepayne,0,CA,1552094713,68,49.22,-84.78,15.13,3.96
417,Olinda,8,EC,1552094437,85,-2.03,-79.75,82.0,5.01
418,Sept-Iles,40,CA,1552093200,64,50.2,-66.38,-2.21,2.24
419,Japura,32,ID,1552094716,96,-0.42,102.29,72.05,2.73
420,Lasa,75,CY,1552094114,87,34.92,32.53,50.0,8.05
421,LOS ALGARROBOS,68,EC,1552094719,88,-3.25,-79.94,76.6,4.29
422,Mount Isa,0,AU,1552091400,48,-20.73,139.49,87.8,9.17
423,Kalynivka,0,UA,1552094507,70,50.23,30.23,46.99,11.18
424,Panaba,0,MX,1552094535,40,21.28,-88.27,86.14,7.43
425,Aksu,0,KZ,1552091400,92,52.04,76.93,6.8,4.47
426,Chalon-sur-Saone,0,FR,1552094553,76,46.78,4.85,48.2,11.41
427,Lorengau,56,PG,1552094726,100,-2.02,147.27,81.64,3.74
428,Sierra Vista,20,US,1552094523,49,31.55,-110.3,55.4,19.46
429,Galegos,40,PT,1552094532,93,41.57,-8.27,52.0,4.7
430,Toktogul,92,KG,1552094715,54,41.87,72.95,28.0,2.06
431,Cedeno,8,CO,1552094731,91,7.05,-72.16,70.03,1.95
432,Richards Bay,68,ZA,1552094732,99,-28.77,32.06,69.35,6.08
433,Chumikan,0,RU,1552094733,55,54.72,135.31,14.18,4.74
434,Dhidhdhoo,80,MV,1552094735,100,6.88,73.1,81.19,5.19
435,Juwana,8,ID,1552094736,93,-6.71,111.15,79.52,4.52
436,Kumluca,8,TR,1552094737,78,36.37,30.29,27.1,1.39
437,Forest,90,US,1552094698,68,32.36,-89.47,71.6,9.17
438,Lagoa,0,PT,1552094528,76,37.14,-8.45,53.6,6.93
439,Kathmandu,20,NP,1552092600,93,27.71,85.32,46.4,2.62
440,Vila Franca do Campo,75,PT,1552094733,77,37.72,-25.43,60.8,5.82
441,Shar,56,NG,1552094743,72,7.3,8.73,79.39,9.44
442,Lleida,0,ES,1552094612,75,41.61,0.63,46.0,5.82
443,Srednekolymsk,68,RU,1552094746,67,67.46,153.71,-1.3,3.18
444,Rocky Mountain House,76,CA,1552094747,68,52.38,-114.92,23.41,8.77
445,Hasaki,20,JP,1552094375,42,35.73,140.83,52.0,2.24
446,Blagoyevo,92,RU,1552094749,87,63.37,47.92,29.71,8.21
447,Mayo,75,CA,1552093200,41,63.59,-135.9,21.2,3.62
448,Port-Gentil,48,GA,1552094752,94,-0.72,8.78,82.85,6.08
449,Gamba,0,CN,1552094753,36,28.28,88.52,-14.85,1.61
450,Mitsamiouli,8,KM,1552094754,97,-11.38,43.28,83.57,10.78
451,Ust-Nera,64,RU,1552094756,84,64.57,143.24,-16.65,2.73
452,Gongzhuling,88,CN,1552094757,41,43.5,124.81,41.27,5.75
453,Ibra,8,OM,1552094758,83,22.69,58.55,52.48,1.95
454,Cooma,56,AU,1552089600,40,-36.24,149.13,69.8,12.75
455,Harnai,24,PK,1552094761,77,30.1,67.94,46.36,3.96
456,Tiarei,40,PF,1552094582,62,-17.53,-149.33,89.6,8.05
457,Katobu,20,ID,1552094763,100,-4.94,122.53,81.77,1.61
458,Monrovia,20,LR,1552093200,94,6.33,-10.8,77.0,6.98
459,Pemba,75,MZ,1552093200,94,-12.97,40.52,77.0,8.05
460,Guara,20,CU,1552094582,73,22.81,-82.2,71.6,8.05
461,Mikhaylovka,0,RU,1552094768,59,52.96,103.29,3.88,2.39
462,Kibondo,24,TZ,1552094769,94,-3.59,30.72,58.24,1.95
463,Flin Flon,20,CA,1552089600,61,54.77,-101.88,17.6,4.7
464,Santiago del Estero,92,AR,1552094501,95,-27.8,-64.26,65.12,27.11
465,Albesti,0,RO,1552094718,57,47.7,27.07,52.0,5.82
466,Kargil,68,PK,1552094774,84,34.56,76.13,1.58,1.39
467,Imbituba,75,BR,1552089600,88,-28.24,-48.67,78.8,2.24
468,Anzio,40,IT,1552094764,93,41.45,12.63,54.0,2.24
469,Jimma,8,ET,1552094778,86,7.67,36.84,53.33,2.39
470,Brownsville,90,US,1552094435,94,25.91,-97.49,75.99,16.11
471,Aberdare,12,GB,1552094769,87,51.71,-3.45,46.99,6.93
472,Wahiawa,1,US,1552094716,44,21.5,-158.02,80.6,14.99
473,Pacific Grove,1,US,1552094631,50,36.62,-121.92,55.0,9.17
474,Manokwari,88,ID,1552094639,99,-0.87,134.08,81.37,4.29
475,Lavrentiya,64,RU,1552094785,99,65.58,-170.99,24.4,24.09
476,Berberati,24,CF,1552094786,94,4.26,15.79,69.35,2.95
477,Ust-Tsilma,88,RU,1552094787,89,65.44,52.15,20.26,6.2
478,Rome,40,IT,1552094764,93,41.89,12.48,54.0,1.12
479,San Pedro de Macoris,40,DO,1552094393,74,18.46,-69.3,81.0,8.05
480,Antofagasta,0,CL,1552089600,77,-23.65,-70.4,66.2,10.29
481,Varkaus,90,FI,1552094403,100,62.32,27.87,35.6,6.93
482,Kisangani,44,CD,1552094793,95,0.52,25.21,74.71,2.17
483,Sterling,90,US,1552094702,86,39.0,-77.4,34.0,4.63
484,Ukiah,1,US,1552094477,45,39.15,-123.21,52.0,11.41
485,Rovaniemi,75,FI,1552094400,85,66.5,25.72,19.4,16.11
486,Teahupoo,40,PF,1552094582,62,-17.83,-149.27,89.6,8.05
487,Kiunga,76,PG,1552094799,91,-6.12,141.3,77.5,2.95
488,Matagami,24,NG,1552094800,66,9.67,8.4,65.48,2.73
489,Yar-Sale,0,RU,1552094801,67,66.83,70.83,5.23,13.35
490,Mercedes,88,UY,1552094803,69,-33.25,-58.03,65.57,18.16
491,Suntar,88,RU,1552094804,87,62.16,117.65,19.27,4.74
492,Vrangel,20,RU,1552094805,90,42.73,133.08,36.73,11.01
493,Hanyang,88,CN,1552094737,80,32.14,105.51,46.99,2.17
494,Katsuura,40,JP,1552094682,61,33.93,134.5,48.2,2.24
495,Solnechnyy,80,RU,1552094809,89,50.72,136.64,21.16,5.19
496,Pedernales,64,EC,1552094810,83,0.07,-80.05,76.15,7.76
497,Kudat,75,MY,1552089600,83,6.89,116.84,82.4,5.82
498,Isoka,64,ZM,1552094812,95,-10.15,32.64,60.58,2.95
499,Gondal,0,IN,1552094351,77,21.96,70.8,73.0,5.82
500,Hingatungan,20,PH,1552094815,100,10.58,125.19,79.03,10.22
501,Gazanjyk,8,TM,1552094816,88,39.24,55.52,35.42,4.74
502,Aklavik,90,CA,1552093200,73,68.22,-135.01,24.8,13.87
503,Tuscaloosa,90,US,1552094443,68,33.21,-87.57,70.0,9.17
504,Maniitsoq,0,GL,1552094820,66,65.42,-52.9,13.96,5.86
505,Igrim,76,RU,1552094821,78,63.19,64.42,22.42,6.64
506,Fayaoue,80,NC,1552094822,100,-20.65,166.53,78.98,18.28
507,Voyvozh,88,RU,1552094823,87,62.89,54.96,23.72,11.45
508,Korhogo,64,CI,1552094824,72,9.46,-5.63,75.07,4.41
509,Palmeira,36,BR,1552093259,94,-25.43,-50.0,66.99,1.99
510,Nouadhibou,0,MR,1552093200,77,20.93,-17.03,64.4,25.28
511,Lompoc,12,US,1552094547,62,34.64,-120.46,57.2,14.99
512,Muisne,76,EC,1552094829,81,0.61,-80.02,76.82,6.64
513,Pamekasan,24,ID,1552094831,99,-7.16,113.47,82.27,3.51
514,Gaeta,40,IT,1552094824,93,41.22,13.56,55.99,2.24
515,Aasiaat,0,GL,1552094833,86,68.71,-52.87,17.47,16.04
516,Poum,36,MK,1552094834,79,41.28,20.71,31.55,2.17
517,Prince Rupert,1,CA,1552093200,52,54.32,-130.32,41.0,3.36
518,Agadez,0,NE,1552094837,35,16.97,7.99,69.35,6.76
519,Nelspruit,24,ZA,1552094677,82,-25.48,30.98,69.01,2.24
520,Harper,1,US,1552094720,78,30.3,-99.24,73.99,12.75
521,Tottori,0,JP,1552093200,40,35.5,134.23,53.6,9.17
522,Apricena,44,IT,1552094841,100,41.78,15.44,53.42,6.98
523,Harnosand,80,SE,1552094719,78,62.63,17.94,19.99,5.82
524,Waitati,0,NZ,1552094633,52,-45.75,170.57,68.0,10.0
525,Jevargi,0,IN,1552094845,47,17.02,76.77,63.64,2.73
526,Basco,90,US,1552094777,93,40.33,-91.2,37.0,10.29
527,Sargatskoye,48,RU,1552094848,87,55.6,73.49,13.6,7.99
528,Gold Coast,76,AU,1552094814,65,-28.0,153.41,88.0,9.17
529,Peniche,0,PT,1552094792,87,39.36,-9.38,52.0,8.05
530,Millville,90,US,1552094824,90,39.4,-75.04,35.01,6.42
531,Mogadishu,32,SO,1552094666,99,2.04,45.34,80.83,16.15
532,Nakhon Thai,20,TH,1552089600,83,17.1,100.84,73.4,3.36
533,Bull Savanna,80,JM,1552094855,71,17.89,-77.59,76.24,3.96
534,Saint-Augustin,90,FR,1552094828,81,44.83,-0.61,53.6,9.17
535,La Ronge,75,CA,1552093200,67,55.1,-105.3,17.6,3.36
536,Tamandare,56,BR,1552094859,92,-8.28,-70.75,75.07,3.96
537,Bereda,90,ES,1552094636,87,43.27,-7.54,55.99,5.82
538,Honiara,64,SB,1552094861,77,-9.43,159.96,83.53,4.18
539,Kaberamaido,36,UG,1552094863,66,1.76,33.16,69.85,9.89
540,Matata,32,NZ,1552094824,69,-37.89,176.76,68.0,5.99
541,Puerto Guzman,64,BO,1552094865,83,-14.32,-67.54,76.24,2.17
542,Buena Vista,90,US,1552094704,92,38.84,-106.13,39.99,3.36
543,Puerto Narino,75,CO,1552093200,100,-3.77,-70.38,78.8,3.36
544,Progreso,75,UY,1552094141,63,-34.68,-56.22,64.99,13.87
545,West Bay,20,GB,1552094836,87,50.71,-2.76,46.99,10.29
546,Rampur Hat,0,IN,1552094873,61,24.18,87.79,58.42,6.98
547,Roswell,1,US,1552094371,36,33.39,-104.52,64.0,36.91
548,San Policarpo,76,PH,1552094875,97,12.18,125.51,77.45,6.98
549,Jalu,0,LY,1552094700,46,29.03,21.55,53.33,8.55
550,Mehamn,44,NO,1552094878,82,71.03,27.85,12.34,6.64
551,Aketi,8,CD,1552094879,90,2.74,23.78,71.15,1.95
552,Sabang,0,PH,1552094880,89,13.72,123.58,77.32,6.42
553,Mogwase,36,ZA,1552094881,96,-25.28,27.22,62.11,4.29
554,San Carlos,64,VE,1552094883,54,9.66,-68.59,85.82,8.77
555,Koimisis,8,GR,1552094873,92,41.22,23.3,53.01,1.16
556,Batagay,64,RU,1552094886,75,67.65,134.64,-4.05,3.06
557,Turkmenabat,0,TM,1552093200,86,39.09,63.58,37.4,4.7
558,Zarubino,12,RU,1552094888,65,42.65,131.06,40.1,6.42
559,Turukhansk,68,RU,1552094866,83,65.8,87.96,8.87,20.4
560,Tautira,40,PF,1552094582,62,-17.73,-149.15,89.6,8.05
561,Oussouye,0,SN,1552089600,73,12.49,-16.54,73.4,2.24
562,Puerto Vallarta,5,MX,1552094720,78,20.61,-105.23,77.0,8.05
563,Bolotnoye,20,RU,1552094894,83,55.67,84.39,9.32,9.78
564,Cap Malheureux,40,MU,1552093200,94,-19.98,57.61,75.2,4.7
